"analysisId","Eval","demographicId","ageId","ageGroup","genId","genGroup","PersonCountAtRisk","PersonCountWithOutcome","averagePredictedProbability","StDevPredictedProbability","MinPredictedProbability","P25PredictedProbability","MedianPredictedProbability","P75PredictedProbability","MaxPredictedProbability"
"Analysis_1002","train",1,"0003","Age group: 0-4",8507001,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Analysis_1002","train",2,"1003","Age group: 5-9",8507001,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Analysis_1002","train",3,"2003","Age group: 10-14",8507001,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Analysis_1002","train",4,"3003","Age group: 15-19",8507001,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Analysis_1002","train",5,"4003","Age group: 20-24",8507001,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Analysis_1002","train",6,"5003","Age group: 25-29",8507001,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Analysis_1002","train",7,"6003","Age group: 30-34",8507001,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Analysis_1002","train",8,"7003","Age group: 35-39",8507001,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Analysis_1002","train",9,"8003","Age group: 40-44",8507001,"Male",117,0,0.00280718566400928,0.000297495120185602,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00271231069877473,0.00413708430286153
"Analysis_1002","train",10,"9003","Age group: 45-49",8507001,"Male",507,0,0.00286317925815619,0.00061279796862093,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.0122593762502848
"Analysis_1002","train",11,"10003","Age group: 50-54",8507001,"Male",1398,2,0.00285973803842294,0.000451867032182682,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00271231069877473,0.00665316890061114
"Analysis_1002","train",12,"11003","Age group: 55-59",8507001,"Male",2773,3,0.00288426274104092,0.00051049033035948,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00268793084330947,0.00665316890061114
"Analysis_1002","train",13,"12003","Age group: 60-64",8507001,"Male",4063,4,0.00296226398545062,0.00061976711726176,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00297817387530579,0.00687468938834533
"Analysis_1002","train",14,"13003","Age group: 65-69",8507001,"Male",3756,7,0.00304626394061428,0.000741436829612914,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00330534618015403,0.0118664202362329
"Analysis_1002","train",15,"14003","Age group: 70-74",8507001,"Male",5187,11,0.00310313354186361,0.000778065456387355,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00358381555258011,0.0118664202362329
"Analysis_1002","train",16,"15003","Age group: 75-79",8507001,"Male",4436,20,0.00322366924916445,0.000892289151108272,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00358381555258011,0.0122593762502848
"Analysis_1002","train",17,"16003","Age group: 80-84",8507001,"Male",2714,23,0.00336755182625995,0.00109662679081424,0.00266573872497508,0.00266573872497508,0.00297817387530579,0.00358381555258011,0.0250180936817548
"Analysis_1002","train",18,"17003","Age group: 85-89",8507001,"Male",654,12,0.00342979833987453,0.000962455555535291,0.00266573872497508,0.00266573872497508,0.00330534618015403,0.00358381555258011,0.00670833286185572
"Analysis_1002","train",19,"18003","Age group: 90-94",8507001,"Male",2,0,0.00312477713877759,0.000649178350449755,0.00266573872497508,0.00289525793187633,0.00312477713877759,0.00335429634567885,0.00358381555258011
"Analysis_1002","train",20,"19003","Age group: 95-99",8507001,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Analysis_1002","train",21,"0003","Age group: 0-4",8532001,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Analysis_1002","train",22,"1003","Age group: 5-9",8532001,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Analysis_1002","train",23,"2003","Age group: 10-14",8532001,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Analysis_1002","train",24,"3003","Age group: 15-19",8532001,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Analysis_1002","train",25,"4003","Age group: 20-24",8532001,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Analysis_1002","train",26,"5003","Age group: 25-29",8532001,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Analysis_1002","train",27,"6003","Age group: 30-34",8532001,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Analysis_1002","train",28,"7003","Age group: 35-39",8532001,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Analysis_1002","train",29,"8003","Age group: 40-44",8532001,"Female",140,0,0.0027946441974279,0.000318363406652548,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00443405519172294
"Analysis_1002","train",30,"9003","Age group: 45-49",8532001,"Female",587,0,0.00283671465805264,0.000447617887237609,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00595749997987249
"Analysis_1002","train",31,"10003","Age group: 50-54",8532001,"Female",1719,0,0.00283445021475796,0.000474426813195361,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.0118664202362329
"Analysis_1002","train",32,"11003","Age group: 55-59",8532001,"Female",3472,1,0.00284363360075829,0.000497765463546398,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.0122593762502848
"Analysis_1002","train",33,"12003","Age group: 60-64",8532001,"Female",4997,3,0.00287639968511457,0.000516988860745276,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.0106314772353404
"Analysis_1002","train",34,"13003","Age group: 65-69",8532001,"Female",4889,7,0.00293375587067651,0.000620773562634164,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00275486398450361,0.0106314772353404
"Analysis_1002","train",35,"14003","Age group: 70-74",8532001,"Female",7667,12,0.00297194274990217,0.000665831582895202,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00297817387530579,0.0118664202362329
"Analysis_1002","train",36,"15003","Age group: 75-79",8532001,"Female",6531,13,0.00307654568220017,0.000779123196249878,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00330534618015403,0.0106314772353404
"Analysis_1002","train",37,"16003","Age group: 80-84",8532001,"Female",4208,22,0.0031700927850341,0.000843339836697602,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00358381555258011,0.0106314772353404
"Analysis_1002","train",38,"17003","Age group: 85-89",8532001,"Female",933,12,0.00321252117064788,0.000899895164729724,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00358381555258011,0.0118664202362329
"Analysis_1002","train",39,"18003","Age group: 90-94",8532001,"Female",10,0,0.00350770634147557,0.00134445444404054,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00358381555258011,0.00595749997987249
"Analysis_1002","train",40,"19003","Age group: 95-99",8532001,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Analysis_1002","test",1,"0003","Age group: 0-4",8507001,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Analysis_1002","test",2,"1003","Age group: 5-9",8507001,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Analysis_1002","test",3,"2003","Age group: 10-14",8507001,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Analysis_1002","test",4,"3003","Age group: 15-19",8507001,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA
